Source,Time (s),RA,Decl,
0137+331=3C48,429 secs,1h37m41.299s,"33°9'35.133""",2024-01-27
2A0335+096,2718 secs,3h38m40.500s,"9°58'12.400""",2024-01-27
A478,2668 secs,4h13m25.300s,"10°27'55.000""",2024-01-27
J0321+1221,509 secs,3h21m53.104s,"12°21'13.954""",2024-01-27
J0424+0204,429 secs,4h24m8.562s,"2°4'24.965""",2024-01-27
,,,,
1331+305=3C286,429 secs,13h31m8.288s,"30°30'32.959""",2024-02-03
A2204,3840 secs,16h32m47.000s,"5°34'35.000""",2024-02-03
J1436+2321,708 secs,14h36m40.981s,"23°21'3.260""",2024-02-03
J1616+0459,502 secs,16h16m37.557s,"4°59'32.737""",2024-02-03
J1719+1745,594 secs,17h19m13.048s,"17°45'6.437""",2024-02-03
MS1455+2232,3665 secs,14h57m15.100s,"22°20'34.000""",2024-02-03
RXJ1720+2638,3735 secs,17h20m10.000s,"26°37'32.000""",2024-02-03
,,,,
1331+305=3C286,673 secs,13h31m8.288s,"30°30'32.959""",2024-02-04
A1413,2214 secs,11h55m18.000s,"23°24'19.000""",2024-02-04
A1795,4288 secs,13h48m52.500s,"26°35'34.000""",2024-02-04
J1041+0610,878 secs,10h41m17.163s,"6°10'16.924""",2024-02-04
J1058+0133,469 secs,10h58m29.605s,"1°33'58.824""",2024-02-04
J1150+2417,304 secs,11h50m19.212s,"24°17'53.835""",2024-02-04
RXCJ1115+0129,4388 secs,11h15m52.000s,"1°29'54.000""",2024-02-04
Z3146,4388 secs,10h23m39.600s,"4°11'11.000""",2024-02-04
,,,,
0137+331=3C48,206 secs,1h37m41.299s,"33°9'35.133""",2024-02-10
A2626,2493 secs,23h36m30.500s,"21°8'47.600""",2024-02-10
ACTJ0022-0036,6570 secs,0h22m13.000s,"-0°36'33.000""",2024-02-10
J0022+0014,663 secs,0h22m25.426s,"0°14'56.161""",2024-02-10
J2136+0041,1083 secs,21h36m38.586s,"0°41'54.213""",2024-02-10
J2253+1608,603 secs,22h53m57.748s,"16°8'53.561""",2024-02-10
RXJ2129+0005,8287 secs,21h29m39.900s,"0°5'21.300""",2024-02-10
,,,,
0137+331=3C48,206 secs,1h37m41.299s,"33°9'35.133""",2024-02-11
A2626,2493 secs,23h36m30.500s,"21°8'47.600""",2024-02-11
ACTJ0022-0036,6570 secs,0h22m13.000s,"-0°36'33.000""",2024-02-11
J0022+0014,663 secs,0h22m25.426s,"0°14'56.161""",2024-02-11
J2136+0041,1083 secs,21h36m38.586s,"0°41'54.213""",2024-02-11
J2253+1608,603 secs,22h53m57.748s,"16°8'53.561""",2024-02-11
RXJ2129+0005,8287 secs,21h29m39.900s,"0°5'21.300""",2024-02-11
