Dconfig1,,,,,Dconfig2,,,,
Frequency [GHz],Data,Error,Fitted Data,Residual: Data-Fitted Data,Frequency [GHz],Data,Error,Fitted Data,Residual: Data-Fitted Data
8.039,1.216,0.003696,1.2136,0.002422,8.039,1.1494,0.00568,1.1513,-0.001893
8.167,1.2041,0.003695,1.2031,0.001034,8.167,1.1406,0.005557,1.1396,0.000976
8.295,1.1929,0.003604,1.1927,0.000249,8.295,1.1305,0.00607,1.1281,0.002396
8.423,1.1811,0.003844,1.1824,-0.001266,8.423,1.1179,0.006444,1.1169,0.00099
8.551,1.1709,0.004052,1.1721,-0.00125,8.551,1.1054,0.005639,1.1058,-0.000462
8.679,1.1601,0.004899,1.162,-0.001888,8.679,1.0931,0.005927,1.095,-0.001896
8.807,1.1505,0.005049,1.152,-0.001473,8.807,1.0852,0.0059,1.0845,0.000791
8.935,1.1401,0.003817,1.142,-0.001945,8.935,1.0744,0.005722,1.0741,0.000357
9.063,1.1326,0.004504,1.1322,0.000481,9.063,1.0666,0.005616,1.0639,0.002676
9.191,1.1246,0.004226,1.1224,0.002154,9.191,1.0472,0.005396,1.0539,-0.006721
9.319,1.114,0.003691,1.1128,0.001245,9.319,1.0451,0.005624,1.0441,0.000966
9.447,1.1025,0.003693,1.1032,-0.00075,9.447,1.0359,0.00557,1.0345,0.001412
9.575,1.0903,0.003852,1.0938,-0.003452,9.575,1.0295,0.0055,1.0251,0.004406
9.703,1.0835,0.00391,1.0844,-0.000887,9.703,1.0155,0.005341,1.0158,-0.000331
9.831,1.0742,0.004078,1.0751,-0.000893,9.831,1.0057,0.005607,1.0067,-0.001021
9.959,1.0655,0.003808,1.066,-0.000493,9.959,0.9963,0.006349,0.9978,-0.001511
10.039,1.0601,0.004033,1.0603,-0.000143,10.039,0.9912,0.006061,0.9923,-0.001129
10.167,1.051,0.003968,1.0513,-0.000323,10.167,0.9825,0.005575,0.9836,-0.001092
10.295,1.0417,0.003861,1.0424,-0.000662,10.295,0.976,0.005714,0.9751,0.00089
10.423,1.0342,0.004177,1.0336,0.000608,10.423,0.9635,0.005887,0.9667,-0.003202
10.551,1.0256,0.003985,1.0248,0.000809,10.551,0.9568,0.00595,0.9585,-0.001746
10.679,1.017,0.003997,1.0162,0.000788,10.679,0.9496,0.006019,0.9504,-0.000822
10.807,1.0088,0.004047,1.0077,0.001119,10.807,0.9435,0.005604,0.9425,0.001041
10.935,1.0036,0.004028,0.9992,0.004414,10.935,0.9361,0.005785,0.9346,0.001496
11.063,0.9943,0.004299,0.9909,0.0034,11.063,0.9264,0.006242,0.9269,-0.000524
11.191,0.9808,0.004519,0.9826,-0.001836,11.191,0.9258,0.005842,0.9194,0.006385
11.319,0.9763,0.004188,0.9745,0.001827,11.319,0.9136,0.006035,0.9119,0.001707
11.447,0.9715,0.004038,0.9664,0.005086,11.447,0.9044,0.006381,0.9046,-0.000199
11.575,0.9614,0.004441,0.9584,0.003028,11.575,0.8998,0.006683,0.8974,0.002344
11.703,0.9472,0.004848,0.9505,-0.00335,11.703,0.8882,0.006433,0.8903,-0.002127
11.831,0.9222,0.009118,0.9427,-0.020516,11.831,0.8777,0.006974,0.8833,-0.005663
11.959,0.9225,0.006012,0.935,-0.012487,11.959,0.8762,0.006677,0.8765,-0.000219
